State,mean_ndvi,Mean_Sunshine,Year
DEBB,0.3058578635502871,184.8431462959824,2015
DEBE,0.1740466610033474,186.02384701912263,2015
DEBW,0.2695012980957968,186.1747302032236,2015
DEBY,0.2505622002952168,178.33651592719,2015
DEHB,0.2654478604101859,162.7979933110368,2015
DEHE,0.3187870666741878,165.38965631981745,2015
DEHH,0.2454087157499825,164.40131406044677,2015
DEMV,0.2728145642337267,174.56000524521374,2015
DENI,0.2665965365573681,162.72271864721262,2015
DENW,0.2708225504540567,166.02074195531873,2015
DERP,0.2968442060405167,169.31426918238995,2015
DESH,0.3065450306911946,163.74958187923886,2015
DESL,0.2942743659913802,167.86384615384614,2015
DESN,0.2433068361974292,185.50476685639228,2015
DEST,0.2571788987566794,178.7154989075018,2015
DETH,0.3160861552673572,171.633018404908,2015
DEBB,0.2603440749743096,171.7958874385489,2016
DEBE,0.1944677917407495,172.48875140607424,2016
DEBW,0.2764859562755964,164.49455080588646,2016
DEBY,0.2629493958331115,161.7025440841866,2016
DEHB,0.2204340705708523,160.11872909698997,2016
DEHE,0.2853115362225462,148.36451014878546,2016
DEHH,0.2394419778251942,154.38830486202366,2016
DEMV,0.2543215513369509,169.66765888626628,2016
DENI,0.2739617691343645,157.39590326389475,2016
DENW,0.2490157219874954,156.31717857874858,2016
DERP,0.2293884906982799,150.04373836477987,2016
DESH,0.2851709802175133,157.23431882531114,2016
DESL,0.2649461846847867,148.55334615384615,2016
DESN,0.2648602536414519,164.23957421190894,2016
DEST,0.2626361698137278,167.60487982520027,2016
DETH,0.2553354156272523,155.3750306748466,2016
DEBB,0.2801096803193271,159.36037633497202,2017
DEBE,0.2409714197061681,159.53273340832394,2017
DEBW,0.2614613426319799,181.45621864050457,2017
DEBY,0.2671056342853908,174.90134812286686,2017
DEHB,0.207433772348701,145.20602006688964,2017
DEHE,0.2698312040638648,151.7380234824357,2017
DEHH,0.1765882227701103,147.5509855453351,2017
DEMV,0.2790803131006171,153.14534487280358,2017
DENI,0.2694605956151074,142.46808847094545,2017
DENW,0.2580759722449581,145.82373729979798,2017
DERP,0.2565817614831643,164.39691572327044,2017
DESH,0.2534524494803949,149.90082307236452,2017
DESL,0.2608049151689371,169.136,2017
DESN,0.2973421607041553,161.02678962346758,2017
DEST,0.25796603059921,154.18640932265112,2017
DETH,0.2737699199659636,151.02313496932516,2017
DEBB,0.2444325208926178,215.21423292083404,2018
DEBE,0.2067307067243675,217.20168728908885,2018
DEBW,0.2305104462950789,202.07591310441484,2018
DEBY,0.2179710419050106,202.6287883959044,2018
DEHB,0.2472458352998685,202.0468227424749,2018
DEHE,0.2343783029802844,195.602695251224,2018
DEHH,0.230083960279072,196.93455978975035,2018
DEMV,0.1897881986371088,210.80895183145373,2018
DENI,0.2679458096487478,196.12076621405075,2018
DENW,0.2549425645979035,194.09836031973765,2018
DERP,0.2302421581409905,199.4406540880503,2018
DESH,0.261325125170141,194.78187923882268,2018
DESL,0.2305023137782026,204.684,2018
DESN,0.250334640770445,203.1028732486865,2018
DEST,0.2344870821302436,208.60098567613497,2018
DETH,0.2510056461603598,193.9334846625767,2018
DEBB,0.2528297264752698,192.5949279538905,2019
DEBE,0.1983352501231055,193.6939257592801,2019
DEBW,0.2537603486627394,193.2345087596356,2019
DEBY,0.2579403807413036,190.5182593856656,2019
DEHB,0.2913019089515107,172.4324414715719,2019
DEHE,0.2670218572891784,178.35460854684604,2019
DEHH,0.2377897256256277,169.68396846254927,2019
DEMV,0.2627599333274939,180.4708846927179,2019
DENI,0.2814054216407844,171.0503710888083,2019
DENW,0.2647956289530338,171.69593300734925,2019
DERP,0.2654847221000183,185.14026163522013,2019
DESH,0.3067666266545749,167.59880160663727,2019
DESL,0.2652387975912506,192.403,2019
DESN,0.2483580564278086,193.10752517513137,2019
DEST,0.2437932420103912,188.2822675406652,2019
DETH,0.2527116786889131,180.22803067484665,2019
DEBB,0.2611404851893665,192.0142668248856,2020
DEBE,0.1997976994092039,193.958492688414,2020
DEBW,0.2635772566686372,205.0289530483532,2020
DEBY,0.2628669817630665,196.72298634812284,2020
DEHB,0.2344444851965112,183.36321070234112,2020
DEHE,0.2645197164457007,184.277021438418,2020
